iter	Passed	Remaining
0	3	270
1	6	260
2	9	237
3	11	226
4	12	190
5	13	168
6	14	150
7	17	155
8	20	158
9	22	160
10	25	162
11	28	162
12	32	165
13	34	164
14	37	162
15	40	161
16	40	151
17	41	142
18	44	144
19	48	145
20	51	145
21	54	144
22	57	142
23	60	140
24	62	138
25	65	136
26	68	134
27	71	131
28	73	129
29	76	128
30	80	126
31	82	124
32	85	122
33	88	120
34	92	118
35	94	115
36	97	113
37	100	111
38	103	108
39	106	106
40	109	103
41	111	101
42	114	98
43	117	96
44	120	93
45	123	91
46	126	88
47	129	86
48	132	83
49	135	81
50	138	78
51	141	75
52	143	73
53	146	70
54	149	67
55	154	66
56	155	62
57	158	60
58	161	57
59	164	54
60	166	51
61	169	49
62	172	46
63	175	43
64	178	41
65	181	38
66	183	35
67	186	32
68	189	30
69	192	27
70	194	24
71	197	21
72	200	19
73	203	16
74	206	13
75	211	11
76	214	8
77	217	5
78	220	2
79	223	0
